item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11
Chicken,Cookies,Tea,Chocolate,Chips,Cereal,Bread,Chocolate,Soda,,Beef
,Detergent,,Bread,Pasta,,Juice,Toothpaste,,Toothpaste,Oranges
Coffee,Bananas,Milk,,Onions,Chips,Onions,Milk,Apples,Eggs,Onions
Juice,Milk,Butter,,Beef,Chocolate,Tissue,Oranges,Detergent,Chicken,Fish
,Cereal,Chocolate,Soap,Soap,Cheese,Onions,,,Beef,
Eggs,Tomatoes,Oranges,Milk,Rice,,Tissue,Oranges,Cereal,Tea,Coffee
,Cereal,Tea,Chips,,Rice,Coffee,Eggs,Cereal,Oranges,Tissue
,Tea,,Tissue,,Toothpaste,Tomatoes,Juice,Cheese,Bread,Shampoo
Soap,Beef,Oranges,Eggs,,,Coffee,Chocolate,Coffee,Soda,Apples
Milk,Tomatoes,Milk,Cookies,Juice,Cereal,Tomatoes,,Shampoo,Rice,Cheese
,Oranges,Fish,Chips,Soap,Shampoo,Toothpaste,,Soda,Coffee,Butter
,Bananas,Chips,Cheese,Cereal,Beef,Water,Eggs,Tea,Soap,Oranges
,Beef,Tea,Toothpaste,,Apples,,Milk,Toothpaste,Tea,Tea
Coffee,Chocolate,Shampoo,Toothpaste,Toothpaste,Chips,Eggs,Tissue,Soap,Chocolate,Detergent
Cookies,Chocolate,,,Beef,Cereal,Soap,Water,Beef,Cheese,Juice
Soda,Onions,Tomatoes,Cereal,Oranges,Tea,Milk,Coffee,Yogurt,,Soda
Bread,,Detergent,Cereal,Fish,Butter,,Fish,Water,,
Detergent,Onions,Chips,Rice,Soda,,,,Water,Pasta,Cookies
,Chocolate,Cereal,Yogurt,Bananas,Soap,Milk,Bananas,Soap,Tissue,Cheese
Tomatoes,Tea,Detergent,Soap,,,Rice,,Water,,Onions
Cookies,Tea,Cookies,Tissue,,Coffee,,Chips,,Milk,Coffee
Apples,,Juice,Bread,Chips,Yogurt,Cookies,Water,Milk,Coffee,Fish
Water,Toothpaste,Shampoo,Water,Rice,,Soda,Cookies,Cookies,,
Rice,Pasta,Oranges,Chicken,Chicken,Fish,Detergent,,,Apples,Shampoo
Cookies,,Tissue,Soap,,,Rice,Milk,,,Detergent
Juice,,Shampoo,,Oranges,Tomatoes,Chocolate,Shampoo,Coffee,Pasta,
Detergent,Yogurt,,Apples,Toothpaste,Yogurt,Tea,Beef,Tissue,Fish,Soda
Soda,Tomatoes,Detergent,Butter,Cheese,Detergent,Soda,Chocolate,Soda,,Bananas
,,,Rice,Coffee,Soap,Milk,Cheese,Chocolate,,Soda
Toothpaste,Beef,Tea,Water,Water,Milk,Tomatoes,Beef,Soda,Apples,Chips
Chicken,,Apples,Chocolate,Toothpaste,Butter,Tissue,Yogurt,,Water,Chips
Yogurt,Water,Tissue,Beef,Chips,,Oranges,Tea,Shampoo,Chips,Tea
Beef,,,Tea,Cereal,Yogurt,Tomatoes,Cereal,Chicken,Pasta,Eggs
,Chicken,Toothpaste,Coffee,,Yogurt,Soap,,,Butter,Bananas
Juice,Bread,Chicken,Milk,Rice,Soda,Rice,Butter,Beef,,Tissue
Chocolate,Chicken,Shampoo,Tea,,,Chocolate,,Coffee,,Rice
Coffee,Chicken,Detergent,,Apples,Water,Yogurt,Tissue,Soap,,Apples
,,,Soda,Chips,Beef,Toothpaste,Butter,Coffee,Eggs,Chips
Juice,Chocolate,Coffee,Butter,Yogurt,,Tea,Onions,Bananas,Cheese,Cookies
Bananas,Cookies,Soda,,Bananas,Milk,,Detergent,Tomatoes,,Bread
Soda,Eggs,Soap,Detergent,Cheese,Cereal,Chips,Tissue,Eggs,Shampoo,Tea
Chips,Water,Onions,Soap,,,Yogurt,Detergent,Oranges,Tea,Toothpaste
Cookies,Cookies,Eggs,Oranges,Chocolate,Cereal,,Tissue,,Chocolate,Butter
,Soap,Coffee,Detergent,Cereal,Yogurt,,Tissue,Cereal,Detergent,Water
Tissue,Beef,Water,Chicken,Bananas,Butter,Pasta,Soap,Yogurt,Pasta,
Bread,Apples,,Butter,Chips,Tomatoes,Fish,Chocolate,,,Tea
Coffee,Chips,Tomatoes,,Yogurt,Tea,Onions,Coffee,Butter,Juice,Tissue
,Chocolate,Shampoo,Onions,Onions,Apples,,Tissue,,Chips,
,Tea,Apples,,Fish,,Chicken,Fish,Cookies,Yogurt,Beef
Fish,Juice,Shampoo,Tomatoes,Cheese,Milk,Butter,,Onions,,Tomatoes
,,,,Cookies,Milk,Cereal,Soda,,,
Shampoo,Cereal,Tea,Juice,Eggs,,Tea,,Bread,Tissue,
Onions,,Yogurt,Tissue,Soap,,Apples,Chips,Pasta,Tea,Soda
Onions,Chips,Tea,Oranges,Rice,Toothpaste,Shampoo,Fish,Milk,Toothpaste,Pasta
,,,Cereal,Oranges,Cereal,Apples,Butter,Apples,Yogurt,Beef
,Pasta,Cheese,,Shampoo,Coffee,,Chips,Bananas,Rice,Water
,Tissue,Cheese,,Milk,,,Cheese,Tissue,Apples,Eggs
Cheese,Juice,Cheese,Soap,Tissue,Soap,Soap,Yogurt,Shampoo,Chips,Chocolate
Pasta,,,Rice,Chicken,Soap,,Pasta,Butter,Juice,Oranges
Soda,Detergent,Rice,Oranges,Toothpaste,Onions,,Bananas,Cheese,Chocolate,Onions
Chicken,,Bread,Water,,,Soap,Soda,,Detergent,
Chicken,,Bananas,Tea,,Beef,Rice,Tea,Juice,,Juice
Cheese,Butter,Fish,,,Soda,,,Rice,Tissue,
Soda,Shampoo,,Cereal,Cereal,Bread,Cereal,Apples,Cookies,,
Yogurt,Beef,Cereal,,,Soap,Cookies,Cookies,Soap,Cereal,
Detergent,Chicken,Cereal,,,Yogurt,Soap,,Chocolate,Cereal,
,Shampoo,Bread,Toothpaste,,Juice,Soda,,Apples,Soda,Oranges
Beef,Bananas,Eggs,Tissue,Pasta,Juice,Milk,,Detergent,,Soda
Onions,Beef,Toothpaste,,Chicken,Cheese,,Water,Onions,Chocolate,Cereal
Eggs,,Eggs,,Juice,Chips,Toothpaste,Rice,,Tomatoes,Cheese
,Bread,Tomatoes,Shampoo,Tomatoes,Cookies,Chocolate,,Coffee,Cheese,
Soap,Milk,,Tissue,Onions,Tomatoes,Milk,Fish,Coffee,Shampoo,
Apples,Cereal,,Tomatoes,Tea,Tomatoes,Butter,,Soda,,
Tea,Milk,Juice,Butter,Beef,Tea,Bananas,Shampoo,Tomatoes,Chips,Butter
,Rice,Apples,,Fish,Coffee,Water,Tomatoes,Bread,Eggs,Chocolate
Onions,,Chips,Apples,Detergent,Juice,Butter,Juice,Cheese,,Water
Eggs,Apples,Eggs,Chips,Shampoo,Detergent,,Rice,Bread,,Toothpaste
Eggs,Juice,Oranges,,Water,Onions,,Fish,Cookies,Milk,Bread
Chocolate,Shampoo,,Toothpaste,Chips,Eggs,,Cheese,,,
,Chocolate,Butter,Cookies,Toothpaste,Tomatoes,,Tissue,Soda,Yogurt,Chocolate
Eggs,Shampoo,Rice,Chicken,Oranges,,Cheese,Cheese,Toothpaste,Pasta,Chips
Eggs,Soda,Soda,,Eggs,Tomatoes,Soda,Milk,Onions,,Coffee
Cheese,Tea,Soap,Cheese,Toothpaste,Chips,,Tea,Apples,Soda,Apples
Chips,,Chips,Yogurt,Soda,Cereal,Bananas,Beef,,Chips,Chocolate
,Tissue,Tomatoes,,,Chicken,Cookies,Oranges,,Rice,Rice
,,,Cookies,Bread,Onions,Chips,Chocolate,Soda,,Cheese
,Soda,Rice,Eggs,Toothpaste,Fish,,Chocolate,Cereal,,Cereal
Cheese,Chicken,,Oranges,Soda,Pasta,Tea,Oranges,Cheese,Cereal,Chips
Tissue,Soda,Cheese,Eggs,Cookies,,Apples,Cookies,Soap,,Bananas
,Beef,Onions,,Cheese,Cookies,Water,Beef,Butter,Eggs,Tea
Water,Cheese,,Bread,Milk,,Soda,,Detergent,Detergent,Shampoo
Chips,,Cheese,Milk,,Detergent,,Shampoo,Coffee,Tea,Butter
Yogurt,Yogurt,Chicken,,,,Soap,Juice,Chicken,Soda,Tomatoes
Pasta,,Milk,Pasta,Tea,Oranges,Juice,Cookies,Chocolate,,Soda
Fish,Oranges,Butter,Bananas,Bananas,Onions,,Detergent,Apples,Coffee,Milk
Rice,Bananas,Chips,Cereal,Butter,Butter,,Chicken,,Pasta,Juice
Milk,,Tissue,Pasta,Soda,Shampoo,,Tea,,Coffee,Chips
Bread,Butter,Chocolate,Milk,Toothpaste,Rice,Shampoo,,Cheese,Milk,Tomatoes
Fish,Pasta,Shampoo,Pasta,Apples,Rice,Yogurt,Cheese,Apples,Apples,Butter
Eggs,Butter,Eggs,Tea,Bread,Onions,Yogurt,Tomatoes,Shampoo,Cereal,Tomatoes
Cheese,Butter,,,,,Tea,Water,Chicken,Onions,Cookies
Cereal,Cookies,Tissue,Chips,,Cookies,Cheese,,Chocolate,,
Beef,,Soda,Butter,,Yogurt,,Milk,Beef,Tea,Chicken
Bananas,Cereal,Cheese,Tissue,Bananas,,,Bread,Cookies,Yogurt,Chips
,Pasta,Soap,Beef,Fish,Apples,,Onions,Tissue,Cookies,Coffee
Soap,Apples,Chips,Cheese,Onions,,Cereal,Oranges,Soda,Bread,Butter
,Beef,Rice,Bananas,Milk,Soap,,,Butter,Bread,
,Onions,Bread,Oranges,Tomatoes,Milk,Shampoo,Fish,Tomatoes,Cereal,Bread
Cereal,Onions,Yogurt,,Cheese,Fish,Chocolate,Oranges,Chocolate,Milk,Oranges
Coffee,Oranges,Juice,Cheese,Coffee,Chips,Onions,Butter,Bananas,Milk,Eggs
Bananas,Shampoo,Soap,Apples,Oranges,Apples,Soap,Toothpaste,,Apples,
Juice,Juice,,Pasta,Butter,Yogurt,Coffee,Rice,Soda,Tissue,Juice
,Tissue,Yogurt,Pasta,Apples,,Soap,Toothpaste,Juice,Tea,
Water,Chips,Milk,Shampoo,,Tomatoes,Shampoo,Shampoo,,,Detergent
,Onions,,,Oranges,Fish,Tissue,,Chicken,Coffee,Chicken
,,Apples,Chips,Toothpaste,Milk,Juice,Onions,Yogurt,Chicken,
Apples,Soap,Toothpaste,,Toothpaste,Chocolate,Chocolate,Water,Juice,Tomatoes,Toothpaste
Eggs,Milk,Soda,Rice,Soap,Yogurt,Yogurt,Cookies,Butter,Chips,Chips
Milk,Oranges,,Tissue,Detergent,Tea,Bread,Beef,Milk,Water,Detergent
Yogurt,Milk,Coffee,Apples,Soda,Pasta,Juice,Pasta,Yogurt,Yogurt,Coffee
Pasta,Pasta,Chips,Bread,Tea,Cookies,,Cereal,Cereal,Chicken,Bread
Eggs,Fish,Shampoo,Cheese,Beef,Juice,Water,Soda,Chicken,,Bananas
Juice,Milk,Butter,Bananas,Shampoo,Soap,Pasta,Cereal,Coffee,Chocolate,Cookies
Beef,Cookies,,Shampoo,Water,Pasta,Cheese,Apples,,Bread,
Milk,Cheese,Eggs,Toothpaste,,Butter,Pasta,Tissue,Tomatoes,Butter,Juice
,Toothpaste,Rice,Chocolate,Tissue,Apples,,Cheese,Chicken,Apples,Water
Tea,,,,Detergent,,,Cheese,,Detergent,Cereal
Cheese,Butter,Toothpaste,Onions,Oranges,Water,Soap,Oranges,Soap,Soap,Fish
Onions,Juice,Rice,Chips,,Rice,Shampoo,Tissue,,Tissue,Cookies
Rice,Detergent,Milk,,Bananas,Milk,Milk,Butter,Chocolate,Bread,Soda
,Cereal,Tomatoes,Soda,Bread,Tea,Cereal,Pasta,Juice,Butter,Tomatoes
Soda,Coffee,Eggs,,Milk,Yogurt,Eggs,Apples,Toothpaste,,Juice
Pasta,Water,Yogurt,Water,Eggs,Oranges,,Beef,Tissue,Tea,Bananas
Rice,Milk,Milk,Oranges,Eggs,Eggs,Chicken,Rice,,Eggs,
Chicken,Cookies,,Soda,Soda,Cheese,Tea,Cheese,Tissue,Bread,Onions
,Cheese,Bananas,Water,,,Rice,Pasta,Water,Fish,Beef
,,Tea,Chicken,Fish,Toothpaste,Pasta,Yogurt,,Fish,Tea
Pasta,Tomatoes,,Oranges,Shampoo,Cheese,,Apples,Pasta,Oranges,
,Soda,Eggs,Bread,Bananas,Pasta,Apples,Water,Apples,,Eggs
Milk,,Tomatoes,Chips,Toothpaste,,Tissue,Shampoo,Cookies,,Chocolate
Soda,,,Oranges,Tissue,Coffee,Tea,Cereal,Juice,,Cereal
Water,Soap,Detergent,Fish,,,,,Tissue,Chips,Cookies
,Bread,Bananas,Yogurt,,Rice,Tissue,,Apples,Yogurt,Tomatoes
Toothpaste,Coffee,Bread,Yogurt,Milk,Tissue,Chicken,Beef,Butter,Soda,Bananas
Chocolate,Soda,Toothpaste,Juice,Oranges,Pasta,Shampoo,Chips,,,
Rice,,Oranges,Tissue,Soap,Bananas,Tomatoes,Toothpaste,,Coffee,Coffee
Soda,Eggs,Butter,Chicken,Chicken,Water,Tea,,Toothpaste,Tea,Chocolate
Cereal,Butter,,Yogurt,Toothpaste,Apples,Butter,Cheese,Cereal,Pasta,Shampoo
Cookies,Cheese,Pasta,Apples,Shampoo,Chocolate,Cereal,Chips,Fish,Onions,Eggs
Chips,Pasta,Milk,Chocolate,Bread,Chicken,,Tissue,Soda,Onions,Fish
Milk,Chocolate,Yogurt,Yogurt,Beef,,Apples,Oranges,Cheese,Fish,Soda
Fish,Rice,Tea,Tea,Cookies,Chocolate,Chicken,Milk,,Juice,Toothpaste
Cheese,Eggs,Toothpaste,,,Rice,Fish,Cereal,Soap,Oranges,Rice
Chips,,Onions,Cookies,Pasta,Water,Bread,,Shampoo,Tissue,Soda
Milk,Juice,Pasta,Beef,Tea,Milk,,Soda,,Tomatoes,Pasta
Toothpaste,Fish,Apples,Rice,Water,,Detergent,Chocolate,,,
Eggs,Milk,Shampoo,,,Toothpaste,Water,,,Pasta,Shampoo
Onions,Eggs,Chips,Milk,Chicken,,Beef,,Cookies,Shampoo,Bananas
Oranges,Butter,Onions,,Soda,Detergent,,,Bananas,Onions,
Soap,Pasta,,Oranges,Rice,Eggs,Toothpaste,Tomatoes,Milk,Bread,Oranges
Detergent,Rice,Chocolate,Cookies,Chocolate,,,,Tea,Water,Yogurt
Eggs,Bananas,Detergent,Toothpaste,Milk,Milk,Juice,Fish,Chips,,Cookies
Tomatoes,,Milk,,,Pasta,Pasta,,Soap,,Chips
Rice,Tomatoes,Shampoo,,Bread,,Onions,,Rice,,Chocolate
Water,Bread,Tissue,Chocolate,Detergent,Cookies,Chocolate,Coffee,,Fish,Pasta
Chocolate,Pasta,Juice,Oranges,Tea,Cereal,Cereal,Rice,Chocolate,Tomatoes,Butter
,Butter,Apples,Butter,Pasta,Yogurt,Bread,,Cookies,Yogurt,Coffee
Milk,Tomatoes,Rice,Chicken,Water,Cookies,Onions,Shampoo,Butter,,Tea
Tomatoes,Soap,Coffee,Cookies,,Bananas,Soda,Onions,Tomatoes,Detergent,Shampoo
Shampoo,Chicken,Bread,Rice,Soap,Oranges,Bread,,Coffee,Cookies,
Juice,,Chocolate,Bananas,Eggs,Soap,Beef,Pasta,Chicken,Tissue,Chocolate
Chicken,Rice,Cookies,Shampoo,Oranges,Chocolate,,Water,Onions,Toothpaste,Fish
Tissue,Tissue,,Cheese,,Toothpaste,Juice,Shampoo,,Onions,Cookies
Bananas,Onions,Toothpaste,Tea,Milk,,,Butter,Tissue,Eggs,Cookies
,Juice,Chocolate,Chicken,Soda,Cheese,Rice,Chocolate,Chicken,Cereal,Bananas
Butter,Tea,Eggs,Water,Yogurt,,Bread,Milk,,Rice,Toothpaste
Soap,Butter,Pasta,Tea,Tea,Bread,Bread,Yogurt,Shampoo,Tomatoes,Juice
Apples,Yogurt,Cereal,Oranges,Tea,Pasta,Toothpaste,Soda,Cereal,,Cookies
Oranges,Bread,Tea,Soda,Beef,Onions,Cookies,Apples,,Chicken,Chicken
Tea,Pasta,Yogurt,Rice,Rice,Tissue,,Apples,Milk,,Beef
Butter,Milk,Apples,Shampoo,Chicken,Bananas,Milk,Cookies,Coffee,,
Cookies,Chips,Tissue,Bread,Chocolate,Tomatoes,Soap,Chicken,,Oranges,Cereal
Apples,,Chips,Bread,Detergent,,Onions,Cheese,,Onions,Milk
Rice,Bananas,Onions,Butter,Yogurt,Juice,Eggs,Tissue,Eggs,Apples,Beef
Juice,Detergent,Onions,Oranges,,Tomatoes,Chicken,Chocolate,,Toothpaste,Beef
Cereal,Beef,Milk,Cookies,,,Fish,Detergent,Bananas,Cheese,Bread
Chocolate,Juice,Chips,,Cheese,Tissue,Tomatoes,,Water,Chicken,Water
Butter,,Milk,Chocolate,,Cereal,Fish,Rice,Milk,Water,Bananas
,Coffee,Bread,Milk,Onions,Tea,,Onions,Rice,Beef,Tea
Beef,Coffee,,Juice,,Cheese,Cookies,Soda,Eggs,Tissue,Cookies
Oranges,Oranges,,,Bread,Pasta,Butter,Tea,Cookies,,Pasta
Water,,Juice,Soda,Cookies,Cookies,,,Eggs,Shampoo,Yogurt
Rice,Bread,Tomatoes,,,Bananas,Soda,Onions,Chocolate,Detergent,Water
,Bread,Oranges,,Cookies,Milk,Water,Pasta,Apples,Tomatoes,Shampoo
,Toothpaste,,Rice,,,Bananas,,Fish,Shampoo,Rice
Cookies,Butter,Rice,Fish,Chips,Fish,,Toothpaste,Fish,Oranges,Chocolate
Tissue,Rice,Soda,,Cookies,Water,Yogurt,Apples,,Cereal,Eggs
Eggs,Apples,Bread,Chicken,,Soap,Bananas,Beef,Tomatoes,,Tea
Beef,Juice,Pasta,Soap,Shampoo,Apples,Juice,Chocolate,,Chicken,
Pasta,,Cheese,Oranges,,Oranges,,Tea,Eggs,,Toothpaste
Tissue,Fish,Detergent,Coffee,,,Soap,Chocolate,,,Yogurt
Juice,Yogurt,Beef,Fish,Juice,Chips,Milk,Milk,Butter,Tissue,Water
Juice,Onions,,Bread,Pasta,Water,Butter,Milk,Beef,Soap,Onions
Eggs,Apples,Tissue,Butter,Bread,Detergent,Milk,Beef,Oranges,Yogurt,Detergent
Chocolate,Chocolate,Apples,Water,,,Cereal,Eggs,Beef,Milk,
Chocolate,Tissue,Eggs,Butter,Cereal,Beef,Onions,Cookies,Toothpaste,Water,Juice
Soap,Beef,Oranges,Pasta,Oranges,Tomatoes,Detergent,Coffee,Oranges,Chips,
,Chips,Oranges,Rice,,Butter,Oranges,Chips,,Butter,
Cheese,Soda,Yogurt,Shampoo,Cheese,,,Juice,Coffee,Cheese,
,Tea,Coffee,Coffee,Cheese,Chicken,Water,Fish,Toothpaste,Butter,Water
Coffee,Cookies,Cheese,,,Tea,Chocolate,Chips,,Soap,Cookies
Eggs,Chips,Tomatoes,Cheese,,,,,Apples,,Rice
Tomatoes,Soda,Beef,Chips,,Soda,,Tea,,Fish,Water
Tea,,Onions,Rice,Tissue,Chips,Bananas,Juice,Eggs,Chicken,Rice
Cheese,Water,Bananas,Butter,Bread,Milk,,Pasta,Shampoo,Pasta,Butter
Butter,Tea,Cereal,Tea,Eggs,Tissue,Toothpaste,Fish,,,Soap
Chicken,Fish,Tea,Bananas,Detergent,,Cheese,Chocolate,,,Fish
,Bananas,,Chicken,,,Cookies,Cookies,Tissue,Eggs,
,Onions,Detergent,,,Milk,Bread,,Juice,Water,Pasta
,Cheese,,,Shampoo,Bananas,Tissue,Tissue,Cookies,,Butter
Chocolate,,Chips,Juice,Toothpaste,Coffee,Beef,,Pasta,Beef,Shampoo
,Shampoo,Bread,Tomatoes,Rice,Beef,Pasta,Tissue,Toothpaste,Cereal,Tissue
Eggs,Chocolate,,,,Onions,Chocolate,Tea,Milk,Beef,Tea
Cereal,,Cereal,Oranges,Apples,Cheese,Pasta,Chocolate,Bananas,Fish,Tea
Toothpaste,Chicken,Apples,Apples,Pasta,Fish,Tomatoes,Tea,Eggs,Chicken,Chips
Chocolate,,Tomatoes,Water,Tea,Water,Onions,Soap,Beef,Bananas,Oranges
Detergent,Chocolate,Cheese,Pasta,Water,Apples,,Water,Shampoo,Oranges,Apples
,Rice,Yogurt,Beef,Pasta,Coffee,,Soap,Oranges,Shampoo,Rice
Onions,Pasta,,Apples,,Apples,Beef,Toothpaste,Tomatoes,,Toothpaste
Eggs,,Cereal,Tea,Cheese,Tomatoes,Milk,Milk,,Detergent,Shampoo
Cheese,Detergent,,Water,Tea,Fish,Soap,Detergent,Fish,,Detergent
Tomatoes,Chicken,,,Apples,Milk,,,Soap,,
,Tissue,,Bananas,Milk,Soap,,Shampoo,Bread,Coffee,Chicken
,Beef,,Detergent,Shampoo,Fish,,Apples,,Cereal,
Detergent,Eggs,Milk,,Detergent,Coffee,Soap,Chicken,Yogurt,Soap,Juice
,Yogurt,Onions,Pasta,Shampoo,Shampoo,Coffee,Tea,Water,Cheese,Apples
Juice,Butter,Soap,Toothpaste,Tomatoes,Detergent,Chicken,Detergent,Oranges,Beef,Bananas
,,Cookies,Apples,,Onions,Chicken,,Tomatoes,Tissue,Tomatoes
Eggs,Water,Butter,Soap,Bread,Chips,Butter,,Fish,Soap,Water
Yogurt,Detergent,Tomatoes,Fish,Pasta,Tea,Apples,Beef,Pasta,Butter,
,Tea,,Juice,Apples,Soap,Apples,Shampoo,,Tissue,Cereal
Eggs,Chicken,Cheese,,Apples,,Tea,Toothpaste,,,Tea
Tomatoes,Toothpaste,Butter,Soap,Eggs,Cereal,,Cookies,Eggs,Tissue,Chicken
Soda,Chocolate,,Tea,Coffee,,,Milk,Eggs,Water,Fish
Cereal,Eggs,Coffee,,,Yogurt,Chips,Juice,Rice,Soap,Yogurt
Fish,Chicken,Milk,,Tomatoes,Cheese,Detergent,,Fish,,Juice
Tomatoes,Water,Rice,Apples,Chips,Onions,Oranges,,Juice,Toothpaste,Shampoo
,,Rice,Cookies,,Cookies,Soda,Cookies,,Soap,Cookies
Bananas,Detergent,Yogurt,Chocolate,Yogurt,Tea,Oranges,,,Cheese,Soap
Rice,Pasta,Butter,Pasta,Pasta,Coffee,Apples,,Cookies,,Cheese
Yogurt,,Juice,,Beef,,Water,Chocolate,,Apples,
,Tea,Tomatoes,Soap,Onions,Eggs,Oranges,Onions,Juice,Tea,
Oranges,Rice,Shampoo,Beef,Tea,Water,,Juice,Apples,,Soap
,Rice,,Juice,Butter,,Soap,Apples,Chips,Rice,Apples
Coffee,Cookies,Chips,Pasta,,Apples,Apples,Tomatoes,Oranges,Toothpaste,
Butter,Cheese,Fish,Chocolate,Butter,Shampoo,Shampoo,Cheese,Pasta,Apples,Eggs
Water,Eggs,,,Juice,Bread,Rice,Cereal,Eggs,,Chips
Soda,Juice,Oranges,Cheese,Oranges,Toothpaste,Chocolate,,,Rice,Shampoo
Pasta,Soda,Tea,Eggs,Soda,,Toothpaste,Rice,Beef,,Bananas
Milk,Beef,,Chicken,Tomatoes,Shampoo,Rice,Cookies,Chocolate,Eggs,Milk
Chicken,Apples,Cookies,Pasta,Bananas,Water,Rice,Pasta,Fish,Chicken,Soda
Juice,Detergent,Yogurt,Tomatoes,,Onions,Cereal,Rice,Water,Onions,Tissue
Shampoo,,Eggs,Soda,Butter,Onions,,Cookies,Soap,Onions,Juice
Oranges,,Chips,Water,Chips,,Detergent,Soap,Cereal,Yogurt,Beef
Soda,Apples,Soap,Soda,Butter,Milk,Cookies,,Bananas,Chocolate,
Tissue,Detergent,Butter,,Water,Coffee,Rice,Chips,Cereal,Soda,Shampoo
Cheese,Pasta,,Water,Beef,Cheese,Shampoo,,Detergent,,Bread
Coffee,Chips,Toothpaste,,Chocolate,Rice,,,Chips,Apples,Tissue
Water,Onions,Soap,Beef,Yogurt,,Tomatoes,Chocolate,Cheese,Yogurt,
Chocolate,Coffee,Soda,Coffee,Soda,,Soap,Toothpaste,Beef,Cheese,Coffee
,Shampoo,Water,,Detergent,Toothpaste,Bananas,Cheese,Onions,Soap,Juice
Cheese,Eggs,Toothpaste,Coffee,,Apples,,,Cheese,Milk,Juice
Chips,Beef,Bananas,Soda,,,Juice,,Oranges,Toothpaste,Pasta
Soap,Butter,,Tissue,Cookies,Soda,,Butter,,,Soap
Cheese,Oranges,Eggs,Tomatoes,Tomatoes,Toothpaste,Onions,Bananas,Onions,Rice,Tomatoes
Bananas,,,,,Detergent,Tissue,Fish,Butter,,Cookies
Tomatoes,,Pasta,Milk,,,,Juice,Toothpaste,,Tea
Eggs,Toothpaste,,Cereal,,Milk,Onions,Oranges,Tissue,,Eggs
Tea,,Tissue,Bread,Detergent,Bread,Cookies,Soap,Milk,Rice,Rice
Butter,Soda,Eggs,Butter,,Cereal,Water,Cheese,,,
Soda,,,Tomatoes,,Cookies,Beef,Oranges,Milk,Bananas,Chocolate
,Cookies,Juice,Detergent,Toothpaste,Water,Yogurt,Yogurt,Chicken,Eggs,
Bread,Shampoo,Chicken,Cookies,,Apples,Rice,,Tissue,Toothpaste,Soda
,Milk,Juice,Tea,Shampoo,Fish,,Water,Cookies,Beef,Fish
Chips,,Fish,Yogurt,Butter,Oranges,Bread,Rice,Tea,,Bananas
,Beef,Fish,,,Shampoo,Detergent,Chicken,Onions,Juice,
Chicken,Detergent,Detergent,Bread,Eggs,,Cereal,Butter,Tea,Detergent,Onions
Cereal,Tissue,,Shampoo,Milk,Rice,Eggs,,Chips,Bread,Rice
,Tomatoes,Butter,Tomatoes,Soda,Rice,Toothpaste,Apples,,,Coffee
Cookies,Yogurt,Rice,Milk,Yogurt,Juice,Tea,Shampoo,Milk,Onions,Chips
Apples,Pasta,Water,Tissue,Tea,Tea,Apples,Water,Cookies,Soda,Coffee
Shampoo,Tomatoes,,,Rice,,,Milk,Butter,,
Butter,Soda,Eggs,Shampoo,Pasta,Fish,Milk,,Cheese,Tomatoes,Butter
Bananas,Chips,Cheese,Butter,Tea,Chocolate,Onions,,,Oranges,Cheese
Eggs,,Fish,,,Tomatoes,Eggs,Water,Yogurt,Eggs,Yogurt
,Cookies,Toothpaste,Bread,,Oranges,Cheese,Beef,,Chips,Oranges
Beef,,Onions,Fish,Butter,Cookies,Pasta,,,Bananas,Eggs
Bread,,Detergent,Chicken,Chips,Coffee,Tomatoes,Water,Tomatoes,,Onions
Soap,Cereal,Juice,Detergent,Bread,Toothpaste,,,Soda,,
Cookies,Chicken,Fish,Chocolate,Rice,Beef,Soda,,Beef,,Chips
Cereal,Eggs,Eggs,Soda,Beef,Chips,Eggs,Toothpaste,Soap,Tomatoes,Rice
Milk,Water,Juice,Cookies,Juice,Rice,Fish,Bread,Soda,,Soda
Butter,,,Cheese,Soda,Yogurt,Yogurt,Oranges,Toothpaste,Cereal,
Juice,Bread,Rice,Apples,Cheese,Apples,,,Coffee,Shampoo,Fish
Apples,Juice,Juice,Oranges,Soda,Butter,Cookies,Yogurt,Chicken,Oranges,Rice
,Tea,Yogurt,Toothpaste,,Chicken,Milk,Cheese,Cheese,Eggs,Tissue
Tissue,Detergent,Eggs,Chicken,,Coffee,Tea,,Bananas,Butter,Rice
Bread,Detergent,Chocolate,Juice,Bananas,Bread,Milk,Juice,Toothpaste,,Rice
Coffee,,Eggs,Soda,Butter,,Soap,Oranges,,Water,
Chocolate,Milk,Rice,Chicken,Chips,Rice,Oranges,Soap,Fish,Water,Cereal
Yogurt,,Soap,Shampoo,Coffee,,Apples,Detergent,,Rice,Apples
Tea,Milk,Pasta,,Butter,,Water,Yogurt,Tissue,Coffee,Tissue
Cereal,Onions,Water,Tissue,,Toothpaste,Soap,Water,,Cheese,Bananas
Pasta,Bananas,Chips,Cookies,Apples,Cheese,Oranges,,Apples,Detergent,Shampoo
Cookies,Bread,,Soap,Chocolate,Tissue,,,Apples,Soap,Apples
Bread,Apples,Cereal,Juice,Pasta,Soda,Rice,Juice,Cheese,Shampoo,Cheese
Bread,Juice,,Cheese,Chicken,Onions,,Juice,Tomatoes,Butter,Tomatoes
Coffee,,Pasta,Milk,Apples,Chicken,Shampoo,Toothpaste,Cereal,Coffee,
